Date,Name,Year,Letterboxd URI,Rating
2023-12-22,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4.5
2023-12-22,Star Wars,1977,https://boxd.it/72s,4
2023-12-22,Brother Bear 2,2006,https://boxd.it/1Xji,2
2023-12-22,Brother Bear,2003,https://boxd.it/1Xjs,2.5
2023-12-22,A Bug's Life,1998,https://boxd.it/1Yyy,3
2023-12-22,The Machinist,2004,https://boxd.it/248c,3.5
2023-12-22,"I, Robot",2004,https://boxd.it/27y8,3
2023-12-22,The Butterfly Effect,2004,https://boxd.it/27M0,3
2023-12-22,Zodiac,2007,https://boxd.it/27MO,3.5
2023-12-22,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,4.5
2023-12-22,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3.5
2023-12-22,Return of the Jedi,1983,https://boxd.it/27Vm,4
2023-12-22,The Empire Strikes Back,1980,https://boxd.it/27Vw,4
2023-12-22,Captain America: The First Avenger,2011,https://boxd.it/28b0,3
2023-12-22,Secret Window,2004,https://boxd.it/28xq,3
2023-12-22,The Sixth Sense,1999,https://boxd.it/29Js,4
2023-12-22,Catch Me If You Can,2002,https://boxd.it/29VS,3.5
2023-12-22,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,3.5
2023-12-22,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,4.5
2023-12-22,Gone Girl,2014,https://boxd.it/6hQu,4.5
2023-12-22,Nightcrawler,2014,https://boxd.it/780m,4.5
2023-12-22,I Origins,2014,https://boxd.it/7aRM,4
2023-12-22,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
2023-12-22,Free Solo,2018,https://boxd.it/iEEq,4
2023-12-22,The Blind Side,2009,https://boxd.it/1zWg,3
2023-12-22,The Road,2009,https://boxd.it/1CWI,4
2023-12-22,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2023-12-22,Bambi,1942,https://boxd.it/25AQ,3.5
2023-12-22,Y Tu Mamá También,2001,https://boxd.it/28QM,4
2023-12-22,Babel,2006,https://boxd.it/292o,3
2023-12-22,Requiem for a Dream,2000,https://boxd.it/29VI,4.5
2023-12-22,A Beautiful Mind,2001,https://boxd.it/2amk,3.5
2023-12-22,Batman Forever,1995,https://boxd.it/2ara,2.5
2023-12-22,Batman Returns,1992,https://boxd.it/2awa,3.5
2023-12-22,Batman,1989,https://boxd.it/2aIU,3
2023-12-22,The Godfather,1972,https://boxd.it/2aNK,4
2023-12-22,Back to the Future Part III,1990,https://boxd.it/2aTS,3
2023-12-22,Back to the Future Part II,1989,https://boxd.it/2aYI,3
2023-12-22,The Big Lebowski,1998,https://boxd.it/2b6C,4
2023-12-22,Back to the Future,1985,https://boxd.it/2b8e,4
2023-12-22,Short Term 12,2013,https://boxd.it/5f6s,4.5
2023-12-22,Black Panther,2018,https://boxd.it/8MHs,3
2023-12-22,Burning,2018,https://boxd.it/hHUa,4.5
2023-12-22,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2023-12-22,The Guilty,2021,https://boxd.it/kOPW,3
2023-12-22,CODA,2021,https://boxd.it/tbf4,3
2023-12-22,Men in Black 3,2012,https://boxd.it/103U,3.5
2023-12-22,The Avengers,2012,https://boxd.it/1xFW,2.5
2023-12-22,TRON: Legacy,2010,https://boxd.it/1Dlo,2.5
2023-12-22,Antichrist,2009,https://boxd.it/1Inu,2.5
2023-12-22,Hannibal,2001,https://boxd.it/1XVc,3.5
2023-12-22,Red Dragon,2002,https://boxd.it/1Yrs,4.5
2023-12-22,The Addams Family,1991,https://boxd.it/267g,3
2023-12-22,American Psycho,2000,https://boxd.it/28Vs,4
2023-12-22,Men in Black II,2002,https://boxd.it/2a0y,2.5
2023-12-22,Men in Black,1997,https://boxd.it/2a0I,3.5
2023-12-22,The Matrix Revolutions,2003,https://boxd.it/2a12,3.5
2023-12-22,The Matrix Reloaded,2003,https://boxd.it/2a1c,4
2023-12-22,The Matrix,1999,https://boxd.it/2a1m,4.5
2023-12-22,Amores Perros,2000,https://boxd.it/2bfu,4.5
2023-12-22,Argo,2012,https://boxd.it/2czU,4.5
